iter	Passed	Remaining
0	1	142
1	2	119
2	3	113
3	4	104
4	5	102
5	6	98
6	7	95
7	8	92
8	9	91
9	9	89
10	10	88
11	11	87
12	12	86
13	13	84
14	14	83
15	15	81
16	16	80
17	17	78
18	18	77
19	19	76
20	20	75
21	21	74
22	22	73
23	23	73
24	24	72
25	25	71
26	26	70
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	33	61
35	34	60
36	34	59
37	35	58
38	36	57
39	37	56
40	38	55
41	39	54
42	40	53
43	41	52
44	42	51
45	43	50
46	44	49
47	45	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	43
54	51	41
55	52	40
56	53	39
57	53	39
58	54	38
59	55	37
60	56	36
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	21
77	74	20
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	81	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	91	4
95	92	3
96	93	2
97	94	1
98	95	0
99	96	0
