iter	Passed	Remaining
0	3	3189
1	5	2792
2	11	3768
3	14	3498
4	15	3066
5	16	2758
6	17	2547
7	20	2511
8	22	2453
9	24	2435
10	26	2358
11	27	2278
12	28	2193
13	31	2205
14	32	2148
15	34	2121
16	36	2136
17	39	2163
18	40	2115
19	43	2117
20	44	2074
21	45	2038
22	47	2001
23	48	1987
24	51	1999
25	53	2003
26	55	1990
27	57	1983
28	58	1959
29	59	1937
30	61	1912
31	62	1892
32	64	1879
33	67	1913
34	71	1966
35	72	1940
36	73	1919
37	74	1898
38	76	1881
39	79	1906
40	81	1903
41	85	1939
42	86	1921
43	87	1901
44	88	1884
45	89	1863
46	91	1859
47	94	1865
48	97	1887
49	99	1886
50	100	1875
51	102	1860
52	103	1847
53	105	1850
54	108	1860
55	111	1877
56	113	1873
57	114	1862
58	116	1850
59	117	1845
60	120	1854
61	127	1931
62	129	1924
63	131	1916
64	132	1910
65	134	1899
66	135	1887
67	136	1876
68	138	1865
69	139	1855
70	141	1854
71	143	1848
72	145	1845
73	148	1857
74	150	1858
75	153	1860
76	155	1868
77	157	1858
78	159	1853
79	161	1857
80	164	1861
81	165	1855
82	167	1852
83	170	1858
84	172	1855
85	174	1852
86	175	1842
87	178	1850
88	181	1858
89	183	1853
90	186	1858
91	188	1856
92	189	1847
93	190	1839
94	192	1833
95	195	1841
96	198	1848
97	203	1873
98	205	1868
99	206	1858
100	208	1856
101	212	1869
102	217	1892
103	218	1885
104	220	1877
105	222	1876
106	224	1872
107	227	1876
108	228	1871
109	230	1864
110	231	1856
111	233	1847
112	234	1840
113	237	1842
114	240	1848
115	242	1850
116	244	1845
117	246	1838
118	247	1830
119	248	1823
120	250	1822
121	254	1828
122	257	1836
123	259	1834
124	261	1827
125	262	1818
126	263	1810
127	265	1809
128	269	1817
129	271	1818
130	273	1817
131	275	1810
132	276	1804
133	278	1798
134	280	1799
135	285	1811
136	287	1812
137	289	1806
138	290	1802
139	293	1801
140	294	1796
141	296	1793
142	298	1791
143	300	1787
144	302	1782
145	303	1775
146	304	1767
147	305	1760
148	307	1754
149	309	1751
150	310	1745
151	312	1744
152	313	1738
153	315	1733
154	316	1727
155	318	1721
156	319	1716
157	321	1710
158	322	1705
159	324	1701
160	325	1695
161	326	1691
162	328	1686
163	329	1681
164	331	1676
165	332	1671
166	334	1667
167	335	1662
168	337	1657
169	338	1652
170	340	1650
171	341	1645
172	343	1642
173	344	1636
174	346	1633
175	347	1628
176	349	1624
177	351	1624
178	354	1627
179	357	1628
180	358	1623
181	360	1619
182	362	1616
183	363	1613
184	365	1608
185	366	1603
186	368	1601
187	369	1596
188	371	1594
189	373	1592
190	375	1590
191	376	1585
192	378	1581
193	380	1579
194	381	1576
195	383	1571
196	385	1571
197	387	1568
198	388	1565
199	390	1562
200	392	1560
201	394	1556
202	396	1555
203	399	1558
204	401	1556
205	402	1552
206	404	1548
207	405	1544
208	407	1540
209	408	1538
210	410	1535
211	412	1533
212	415	1533
213	416	1531
214	418	1526
215	419	1524
216	421	1522
217	423	1519
218	424	1515
219	427	1514
220	429	1512
221	430	1508
222	432	1506
223	434	1505
224	435	1501
225	437	1497
226	439	1495
227	441	1493
228	443	1492
229	445	1491
230	446	1487
231	448	1483
232	449	1480
233	452	1479
234	453	1476
235	455	1474
236	457	1473
237	459	1469
238	460	1465
239	461	1462
240	463	1460
241	465	1457
242	466	1454
243	468	1452
244	470	1450
245	472	1449
246	475	1448
247	476	1444
248	477	1441
249	479	1437
250	481	1435
251	482	1432
252	484	1429
253	486	1427
254	488	1425
255	489	1422
256	490	1418
257	492	1417
258	495	1417
259	497	1414
260	499	1414
261	502	1415
262	504	1413
263	506	1411
264	507	1408
265	509	1406
266	511	1403
267	512	1400
268	515	1399
269	517	1398
270	518	1395
271	520	1392
272	522	1390
273	523	1387
274	525	1384
275	527	1383
276	532	1388
277	533	1386
278	535	1383
279	537	1381
280	538	1377
281	540	1375
282	542	1374
283	545	1375
284	547	1374
285	549	1371
286	551	1370
287	553	1367
288	554	1364
289	556	1361
290	559	1362
291	561	1360
292	563	1358
293	564	1355
294	565	1352
295	568	1351
296	570	1349
297	572	1348
298	574	1346
299	576	1344
300	578	1342
301	580	1340
302	581	1337
303	583	1335
304	584	1332
305	587	1332
306	589	1331
307	591	1328
308	592	1325
309	594	1322
310	595	1319
311	597	1316
312	599	1315
313	601	1313
314	603	1311
315	606	1313
316	608	1311
317	610	1309
318	612	1306
319	614	1304
320	616	1304
321	618	1301
322	620	1301
323	622	1298
324	624	1296
325	625	1293
326	628	1292
327	630	1292
328	634	1294
329	636	1292
330	637	1289
331	639	1286
332	640	1283
333	643	1282
334	645	1281
335	647	1279
336	649	1277
337	671	1316
338	674	1315
339	678	1317
340	681	1317
341	683	1314
342	686	1314
343	688	1313
344	692	1315
345	694	1313
346	696	1310
347	698	1308
348	700	1305
349	702	1303
350	742	1373
351	744	1371
352	746	1368
353	748	1366
354	750	1363
355	753	1362
356	755	1360
357	757	1357
358	758	1354
359	760	1351
360	762	1349
361	795	1401
362	798	1401
363	801	1401
364	804	1398
365	805	1395
366	807	1393
367	809	1389
368	810	1386
369	814	1386
370	816	1384
371	819	1383
372	822	1383
373	824	1380
374	825	1376
375	827	1372
376	828	1369
377	831	1367
378	833	1365
379	836	1364
380	838	1361
381	839	1358
382	840	1354
383	842	1351
384	845	1350
385	847	1347
386	849	1344
387	850	1342
388	852	1339
389	854	1336
390	855	1332
391	857	1329
392	859	1327
393	861	1325
394	863	1322
395	865	1319
396	866	1316
397	868	1313
398	869	1310
399	871	1306
400	873	1304
401	875	1302
402	877	1299
403	879	1297
404	881	1294
405	883	1291
406	884	1288
407	885	1285
408	887	1282
409	889	1280
410	891	1277
411	893	1275
412	895	1273
413	897	1270
414	898	1267
415	900	1263
416	902	1261
417	904	1259
418	906	1256
419	908	1254
420	909	1251
421	911	1248
422	912	1245
423	915	1243
424	918	1242
425	919	1239
426	921	1236
427	923	1233
428	924	1230
429	927	1229
430	929	1226
431	930	1224
432	933	1222
433	935	1219
434	936	1216
435	937	1213
436	939	1210
437	940	1206
438	942	1204
439	945	1202
440	947	1200
441	951	1200
442	952	1197
443	954	1195
444	957	1194
445	960	1192
446	964	1193
447	966	1190
448	967	1187
449	969	1184
450	971	1182
451	973	1180
452	975	1178
453	977	1175
454	979	1172
455	980	1170
456	982	1167
457	983	1164
458	985	1161
459	987	1159
460	990	1157
461	992	1155
462	994	1153
463	995	1150
464	997	1147
465	998	1144
466	1001	1142
467	1003	1141
468	1006	1139
469	1008	1136
470	1009	1133
471	1011	1131
472	1012	1128
473	1014	1125
474	1016	1123
475	1018	1120
476	1020	1118
477	1021	1115
478	1023	1113
479	1024	1110
480	1026	1107
481	1027	1104
482	1029	1101
483	1031	1099
484	1032	1096
485	1034	1094
486	1036	1091
487	1038	1089
488	1041	1088
489	1043	1086
490	1045	1083
491	1048	1082
492	1050	1079
493	1052	1078
494	1055	1076
495	1056	1073
496	1058	1071
497	1060	1068
498	1062	1066
499	1064	1064
500	1066	1061
501	1067	1059
502	1069	1056
503	1070	1053
504	1072	1051
505	1073	1048
506	1076	1046
507	1077	1043
508	1079	1041
509	1080	1038
510	1082	1035
511	1083	1032
512	1085	1030
513	1087	1027
514	1088	1025
515	1090	1022
516	1092	1020
517	1093	1017
518	1095	1014
519	1096	1012
520	1098	1009
521	1099	1006
522	1100	1003
523	1102	1001
524	1104	998
525	1106	997
526	1109	995
527	1111	993
528	1112	990
529	1114	987
530	1116	985
531	1117	983
532	1120	981
533	1121	978
534	1123	976
535	1124	973
536	1126	971
537	1128	969
538	1130	966
539	1131	964
540	1133	961
541	1135	959
542	1137	957
543	1139	954
544	1140	952
545	1142	949
546	1144	947
547	1146	945
548	1147	943
549	1150	941
550	1152	939
551	1154	936
552	1155	934
553	1157	931
554	1159	929
555	1160	926
556	1162	924
557	1164	922
558	1165	919
